model,fold,ordering,failed_pickups,failed_returns,total_failures,fulfilled_demand_rate,average_regret_vs_oracle,percentage_within_one_failure_of_oracle,mean_absolute_starting_inventory_error,station_days
historical_average,0,pickups_then_returns,20375,18588,38963,0.9298198490884332,5.669047619047619,29.523809523809526,5.8845238095238095,840
historical_average,0,returns_then_pickups,17228,21742,38970,0.9285517898524309,4.211904761904762,49.523809523809526,4.5130952380952385,840
historical_average,1,pickups_then_returns,7760,8901,16661,0.9572647090833336,4.51604938271605,43.95061728395061,5.558024691358025,810
historical_average,1,returns_then_pickups,7472,10088,17560,0.9550925297778564,3.865432098765432,54.44444444444444,5.517283950617284,810
historical_average,2,pickups_then_returns,3932,4990,8922,0.9750456073580972,2.7357142857142858,61.66666666666667,5.045238095238095,840
historical_average,2,returns_then_pickups,4555,5660,10215,0.9703687006116192,2.925,62.73809523809524,6.08452380952381,840
poisson_gru,0,pickups_then_returns,21984,19355,41339,0.9253197671801189,8.497619047619047,28.92857142857143,9.219047619047618,840
poisson_gru,0,returns_then_pickups,17935,23590,41525,0.9246133278804013,7.253571428571429,37.5,7.8011904761904765,840
poisson_gru,1,pickups_then_returns,9122,10021,19143,0.9501122641512918,7.580246913580247,37.901234567901234,7.951851851851852,810
poisson_gru,1,returns_then_pickups,7423,13321,20744,0.9465506495188832,7.796296296296297,39.382716049382715,8.381481481481481,810
poisson_gru,2,pickups_then_returns,5738,4952,10690,0.9705286461630636,4.84047619047619,56.904761904761905,5.795238095238095,840
poisson_gru,2,returns_then_pickups,4687,6431,11118,0.9689804562414263,4.0,58.214285714285715,5.4226190476190474,840
