model,fold,track,target_type,fit_seconds,prediction_seconds,serialized_model_bytes,feature_count,tuned_configurations,device,epochs_trained,best_validation_poisson_nll,train_examples_used,validation_examples_used
historical_average,0,two_hour,pickups,0.0,,0,0,0,,,,,
poisson_gru,0,two_hour,pickups,7.449527415912598,1.162597707938403,17886,77,0,cpu,5.0,-22.507283087730407,10000.0,5000.0
historical_average,0,two_hour,returns,0.0,,0,0,0,,,,,
poisson_gru,0,two_hour,returns,7.847144457977265,1.439915957977064,17886,77,0,cpu,5.0,-22.60047545051575,10000.0,5000.0
historical_average,0,day_ahead,pickups,0.0,,0,0,0,,,,,
poisson_gru,0,day_ahead,pickups,7.447614250006154,0.5911566659342498,17901,77,0,cpu,5.0,-21.783192346191406,10000.0,5000.0
historical_average,0,day_ahead,returns,0.0,,0,0,0,,,,,
poisson_gru,0,day_ahead,returns,7.894572333083488,0.6869170420104638,17901,77,0,cpu,5.0,-21.925134962844847,10000.0,5000.0
historical_average,1,two_hour,pickups,0.0,,0,0,0,,,,,
poisson_gru,1,two_hour,pickups,8.50532183307223,1.33580041595269,17886,77,0,cpu,5.0,-19.744301208877562,10000.0,5000.0
historical_average,1,two_hour,returns,0.0,,0,0,0,,,,,
poisson_gru,1,two_hour,returns,7.901977916946635,1.4320580830099061,17886,77,0,cpu,5.0,-20.103067736053468,10000.0,5000.0
historical_average,1,day_ahead,pickups,0.0,,0,0,0,,,,,
poisson_gru,1,day_ahead,pickups,8.149466083035804,0.6196327919606119,17901,77,0,cpu,5.0,-18.891024291038512,10000.0,5000.0
historical_average,1,day_ahead,returns,0.0,,0,0,0,,,,,
poisson_gru,1,day_ahead,returns,8.080906958901323,0.7293311250396073,17901,77,0,cpu,5.0,-19.253434907341003,10000.0,5000.0
historical_average,2,two_hour,pickups,0.0,,0,0,0,,,,,
poisson_gru,2,two_hour,pickups,8.606405874947086,1.182819667039439,17886,77,0,cpu,5.0,-10.480509673547745,10000.0,5000.0
historical_average,2,two_hour,returns,0.0,,0,0,0,,,,,
poisson_gru,2,two_hour,returns,7.82516891695559,1.177778874989599,17886,77,0,cpu,5.0,-10.682826865911483,10000.0,5000.0
historical_average,2,day_ahead,pickups,0.0,,0,0,0,,,,,
poisson_gru,2,day_ahead,pickups,8.203140874975361,0.6171995829790831,17901,77,0,cpu,5.0,-9.793943367576599,10000.0,5000.0
historical_average,2,day_ahead,returns,0.0,,0,0,0,,,,,
poisson_gru,2,day_ahead,returns,7.8499694999773055,0.5874294579261914,17901,77,0,cpu,5.0,-10.182084256458282,10000.0,5000.0
