feature_count,fit_seconds,fold,model,prediction_seconds,serialized_model_bytes,target_type,track,tuned_configurations
0,0.0,0,seasonal_naive,,0,pickups,two_hour,0
0,0.0,0,historical_average,,0,pickups,two_hour,0
0,0.0,0,recent_average,,0,pickups,two_hour,0
39,5.429391666897573,0,poisson_glm,0.0349725839914754,7874,pickups,two_hour,1
39,7.90461091697216,0,lightgbm_poisson,0.5217352909967303,908455,pickups,two_hour,3
0,0.0,0,seasonal_naive,,0,returns,two_hour,0
0,0.0,0,historical_average,,0,returns,two_hour,0
0,0.0,0,recent_average,,0,returns,two_hour,0
39,5.024877415969968,0,poisson_glm,0.030668415944091976,7874,returns,two_hour,1
39,7.267398583004251,0,lightgbm_poisson,0.5323072500759736,909601,returns,two_hour,3
0,0.0,0,seasonal_naive,,0,pickups,day_ahead,0
0,0.0,0,historical_average,,0,pickups,day_ahead,0
0,0.0,0,recent_average,,0,pickups,day_ahead,0
39,1.927952125086449,0,poisson_glm,0.0109987499890849,7874,pickups,day_ahead,1
39,3.065549416001886,0,lightgbm_poisson,0.21461416711099446,898418,pickups,day_ahead,3
0,0.0,0,seasonal_naive,,0,returns,day_ahead,0
0,0.0,0,historical_average,,0,returns,day_ahead,0
0,0.0,0,recent_average,,0,returns,day_ahead,0
39,1.9275424170773476,0,poisson_glm,0.01935162500012666,7874,returns,day_ahead,1
39,3.0983902500011027,0,lightgbm_poisson,0.23658208292908967,901138,returns,day_ahead,3
0,0.0,1,seasonal_naive,,0,pickups,two_hour,0
0,0.0,1,historical_average,,0,pickups,two_hour,0
0,0.0,1,recent_average,,0,pickups,two_hour,0
39,6.177412917022593,1,poisson_glm,0.02806300006341189,7874,pickups,two_hour,1
39,8.115463583962992,1,lightgbm_poisson,0.5325156670296565,909812,pickups,two_hour,3
0,0.0,1,seasonal_naive,,0,returns,two_hour,0
0,0.0,1,historical_average,,0,returns,two_hour,0
0,0.0,1,recent_average,,0,returns,two_hour,0
39,5.868996541015804,1,poisson_glm,0.02811054198537022,7874,returns,two_hour,1
39,8.501026791986078,1,lightgbm_poisson,0.5252608330920339,910714,returns,two_hour,3
0,0.0,1,seasonal_naive,,0,pickups,day_ahead,0
0,0.0,1,historical_average,,0,pickups,day_ahead,0
0,0.0,1,recent_average,,0,pickups,day_ahead,0
39,2.100742375012487,1,poisson_glm,0.013819666928611696,7874,pickups,day_ahead,1
39,3.426849166979082,1,lightgbm_poisson,0.22623508295509964,900713,pickups,day_ahead,3
0,0.0,1,seasonal_naive,,0,returns,day_ahead,0
0,0.0,1,historical_average,,0,returns,day_ahead,0
0,0.0,1,recent_average,,0,returns,day_ahead,0
39,2.021579916938208,1,poisson_glm,0.018336375011131167,7874,returns,day_ahead,1
39,3.4301084160106257,1,lightgbm_poisson,0.2201395840384066,902208,returns,day_ahead,3
0,0.0,2,seasonal_naive,,0,pickups,two_hour,0
0,0.0,2,historical_average,,0,pickups,two_hour,0
0,0.0,2,recent_average,,0,pickups,two_hour,0
39,6.348611499997787,2,poisson_glm,0.06122845795471221,7874,pickups,two_hour,1
39,11.071976167033426,2,lightgbm_poisson,0.5300931669771671,911770,pickups,two_hour,3
0,0.0,2,seasonal_naive,,0,returns,two_hour,0
0,0.0,2,historical_average,,0,returns,two_hour,0
0,0.0,2,recent_average,,0,returns,two_hour,0
39,7.609850791981444,2,poisson_glm,0.09031737502664328,7874,returns,two_hour,1
39,8.836771209025756,2,lightgbm_poisson,0.506868917029351,912304,returns,two_hour,3
0,0.0,2,seasonal_naive,,0,pickups,day_ahead,0
0,0.0,2,historical_average,,0,pickups,day_ahead,0
0,0.0,2,recent_average,,0,pickups,day_ahead,0
39,2.234344583004713,2,poisson_glm,0.016920499969273806,7874,pickups,day_ahead,1
39,3.5828567079734057,2,lightgbm_poisson,0.20055058307480067,900467,pickups,day_ahead,3
0,0.0,2,seasonal_naive,,0,returns,day_ahead,0
0,0.0,2,historical_average,,0,returns,day_ahead,0
0,0.0,2,recent_average,,0,returns,day_ahead,0
39,2.248519250075333,2,poisson_glm,0.025571250007487833,7874,returns,day_ahead,1
39,3.6970940419705585,2,lightgbm_poisson,0.21736637502908707,903157,returns,day_ahead,3
